4.058,9.465
6.532,9.0
7.454,8.7
6.187,5.55
1.982,6.821
1.982,5.429
1.052,1.438
8.729,6.72
6.211,7.65
7.227,7.12
0.696,2.897
9.714,9.00
8.408,8.02
2.517,6.706
2.227,6.39
2.242,7.503
3.39,8.23
5.485,4.02
4.603,5.25
3.267,7.351
6.313,10.0
1.825,4.904
3.275,8.465
3.98,1.0
4.833,1.45
7.959,10.0
2.397,5.728
5.385,9.23
6.128,9.56
0.941,1.496
6.272,10.0
2.12,5.782
1.118,2.572
9.514,10.0
7.674,10.0
8.18,10.0
3.394,7.638
1.428,2.055
7.0,10.0
4.681,10.0
1.659,4.363
5.204,10.0
0.827,2.24
8.139,10.0
2.958,6.512
6.794,10.0
3.461,8.711
5.441,10.0
5.694,8.72
2.256,6.201
9.711,7.23
7.864,7.78
9.425,8.23
6.001,10.0
7.18,9.6
5.258,8.52
1.341,3.867
2.362,9.757
0.93,2.895
3.591,7.43
4.192,6.45
3.078,8.346
8.373,10.0
3.889,10.0
3.169,7.149
5.656,10.0
1.839,4.112
8.121,10.0
1.208,5.335
9.875,8.91
7.836,7.45
2.388,4.357
0.552,0.909
8.247,10.0
7.215,10.0
7.426,10.0
7.827,10.0
1.203,3.688
3.905,9.033
1.601,4.218
8.699,10.0
6.421,10.0
3.644,10.0
1.104,3.393
3.454,6.611
3.589,9.16
7.431,10.0
6.557,10.0
8.929,10.0
4.986,10.0
1.636,4.595
7.276,10.0
7.727,10.0
5.832,8.03
7.824,5.78
5.191,6.89
5.466,9.89
4.562,9.00
0.741,0.593
1.525,4.73
0.799,4.119
6.546,10.0
3.486,7.197
5.331,10.0
7.122,10.0
2.868,6.463
4.399,10.0
7.678,10.0
2.674,5.757
1.231,3.019
3.253,4.89
2.032,4.055
9.332,6.72
8.177,8.34
6.517,7.67
8.779,8.87
8.135,9.03
2.272,5.812
8.979,7.00
5.624,8.12
5.171,8.15
8.013,10.0
3.521,7.821
1.545,4.326
2.665,6.863
4.558,10.0
8.271,10.0
8.677,10.0
0.566,1.529
5.352,10.0
4.465,10.0
2.61,5.287
1.639,6.23
3.707,7.316
9.458,10.0
3.57,9.514
5.429,10.0
7.179,10.0
3.954,9.678
9.732,10.0
9.643,10.0
2.892,8.079
5.224,10.0
3.358,7.703
3.206,8.915
0.85,2.433
6.291,10.0
5.275,10.0
0.989,1.644
3.147,7.308
9.129,10.0
2.776,7.55
1.877,4.67
5.15,10.0
9.864,10.0
2.8,6.407
6.885,10.0
7.735,10.0
2.758,6.676
7.418,6.56
3.994,7.65
6.507,6.66
6.519,5.78
5.59,7.89
1.358,4.076
8.435,2.23
3.547,9.193
2.272,5.55
0.887,2.315
6.113,10.0
6.937,10.0
0.658,3.736
5.365,10.0
2.652,5.415
6.629,10.0
2.156,6.183
7.064,10.0
4.174,10.0
9.399,10.0
1.806,3.619
3.74,9.426
1.578,3.268
9.285,3.45
8.835,4.05
2.95,6.551
6.77,5.02
8.264,4.67
5.774,5.07
5.532,6.72
2.798,7.238
1.384,3.706
9.024,10.0
9.054,10.0
6.514,10.0
3.721,7.854
3.817,8.136
7.397,3.45
9.023,8.05
8.927,3.56
7.909,2.90
